arquivo;questao;pagina_pdf;tema;subtipo;tema2;leitura;dificuldade;resposta;resumo;observacao
2022-1fase-prova.pdf;1;2;OPE;soma;;sim;F;E;Achar a conta de adição cujo resultado NÃO é 9.;Pergunta invertida (DIFERENTE de 9): 4 das 5 contas dão 9.
2022-1fase-prova.pdf;2;2;TEM;;POS;sim;M;E;Descobrir o dia da semana do penúltimo dia de março num calendário.;Mão cobre o dia 30 no calendário, precisa saber que março tem 31 dias e o que é penúltimo, dia 31 é domingo.
2022-1fase-prova.pdf;3;2;ESP;;NUM;não;M;C;Qual número aparece ao encaixar duas peças de quebra-cabeça com algarismos girados.;Peças 6 e 4 estão giradas: precisa girar mentalmente (6 pode virar 9). Ajuda recortar papel.
2022-1fase-prova.pdf;4;2;LOG;;;não;F;D;Descobrir quem é José eliminando os outros meninos pelas pistas.;Pistas por figurinhas (bola, skate, bicicleta, mochila), José é quem DEU o skate, não quem o tem.
2022-1fase-prova.pdf;5;2;ESP;;;não;M;E;Qual figura está escondida embaixo de uma folha de papel, vendo só uma pontinha.;Só aparece um cantinho (triângulo de ângulo aberto), eliminar formas pelo canto visível.
2022-1fase-prova.pdf;6;3;ESP;;CNT;sim;M;B;Contar quantos pares completos (esquerdo e direito) de chinelos dá para formar.;Lateralidade: separar esquerdos (5) e direitos (2). Pegadinha: 7 chinelos mas só 2 pares COMPLETOS.
2022-1fase-prova.pdf;7;3;NUM;;;não;F;C;Escolher o maior número escrito por extenso (onze a quinze).;Números por extenso, exige leitura das palavras.
2022-1fase-prova.pdf;8;3;ESP;;LOG;sim;D;D;Qual marca de dobras NÃO pode aparecer ao desdobrar uma folha dobrada 2 vezes.;Pergunta com NÃO em destaque. Ajuda dobrar papel de verdade: cada dobra faz 1 linha reta e D tem 3 linhas.
2022-1fase-prova.pdf;9;3;MED;soma;OPE;sim;M;E;Calcular quantos metros Mariana correu indo e voltando a duas bandeiras.;Subtipo da OPE: soma. Pegadinha: a 2ª bandeira fica a 10+15=25 m do início e é ida E volta (10+10+25+25=70).
2022-1fase-prova.pdf;10;3;ESP;;POS;sim;D;E;Achar o colar diferente dos outros pela ordem das miçangas no fio.;Seguir o fio e ver a ordem estrela/bola/losango, no E a bola não fica no meio. Desenho confuso, ajuda usar um barbante com 3 contas.
2022-1fase-prova.pdf;11;4;ESP;;;não;M;A;Escolher a vista de cima de uma montagem de cubinhos.;Vista de cima de sólido (foto em 3D), o cubo empilhado não muda a vista. Dá para montar com blocos/caixinhas.
2022-1fase-prova.pdf;12;4;ESP;;;não;D;A;Quantos nós aparecem ao puxar as pontas de um barbante enrolado.;Exige seguir o barbante e ver por onde ele passa dentro/fora dos laços. Muito visual, ajuda fazer com barbante de verdade.
2022-1fase-prova.pdf;13;4;OPE;dinheiro;LOG;sim;M;E;Achar o preço da pipoca sabendo que João comprou 1 pipoca a mais e gastou 16 reais a mais.;Informação que sobra: o preço do suco não é dado nem precisa. A diferença de compra é só 1 pipoca = 16 reais.
2022-1fase-prova.pdf;14;4;OPE;dobro;CNT;sim;D;D;Quantos quadradinhos brancos pintar de preto para que os pretos fiquem o dobro dos brancos.;Cada pintura muda as DUAS quantidades (+1 preto e -1 branco). 12 quadradinhos em 3 partes iguais (usa divisão 12:3=4). Pode resolver testando.
2022-1fase-prova.pdf;15;4;SEQ;soma;OPE;não;D;E;Em que degrau o cachorro (pula de 3 em 3) alcança o gato (sobe de 2 em 2 a partir do 3º).;Subtipo da OPE: soma. Simulação passo a passo (tabela de pulos), escada numerada ajuda.
2023-1fase-prova.pdf;1;2;CNT;;;sim;F;C;Qual fruta da barraca aparece em quantidade diferente das outras.;Contar 6 grupos de frutas, a laranja tem 7. Pergunta de DIFERENTE.
2023-1fase-prova.pdf;2;2;CNT;;LOG;sim;M;D;Contar as placas de trânsito redondas que NÃO têm seta.;Duas condições ao mesmo tempo (círculo E sem seta). 20 placas pequenas, fácil se perder, riscar as já vistas.
2023-1fase-prova.pdf;3;2;OPE;mult;;não;M;D;Contar sementes de 2 tangerinas com 9 gomos cada e 2 sementes por gomo.;Dois passos de grupos iguais (9+9=18 gomos, 18x2=36 sementes), também é dobro de dobro.
2023-1fase-prova.pdf;4;2;ESP;;;não;D;D;Quantas bandeirinhas triangulares apontarão para João quando ele esticar a linha.;Seguir a linha enrolada e ver a direção de cada triângulo. Muito visual, ajuda reproduzir com barbante e papel.
2023-1fase-prova.pdf;5;2;SEQ;soma;OPE;não;F;D;Descobrir os 2 números que faltaram na contagem de 1 a 10 da música e somá-los.;Números esquecidos: 5 e 6 (5+6=11). Texto da música tem que ser lido com calma.
2023-1fase-prova.pdf;6;3;LOG;;ESP;sim;M;C;Qual figura completar num quadriculado 6x6 para cada linha e coluna ter um par de cada figura.;Tipo sudoku de figuras. Atenção: retângulo deitado e em pé contam iguais, estrelas também.
2023-1fase-prova.pdf;7;3;MED;;CNT;não;M;E;Qual caminho no quadriculado é o mais comprido.;Medir contando lados de quadradinho (unidade não padrão). Caminhos com curvas enganam o olho.
2023-1fase-prova.pdf;8;3;TEM;;GRA;sim;M;D;Quantas crianças fazem aniversário no mês anterior ao de Isabel, lendo um cartaz de meses.;Pergunta em dois passos: achar o mês de Isabel (janeiro) e o mês ANTERIOR (dezembro, que fica no fim do cartaz).
2023-1fase-prova.pdf;9;3;OPE;soma;;não;F;D;Fazer a cadeia de contas +5 -4 +15 a partir de 10.;Mistura soma e subtração em sequência (10, 15, 11, 26).
2023-1fase-prova.pdf;10;3;NUM;;ESP;sim;D;D;Qual número NÃO pode ser formado com os algarismos 1, 3 e 6 (ou 9) comprados.;Pergunta com NÃO. Pegadinha espacial: o 6 virado vira 9. Números de 3 algarismos (maiores que 100).
2023-1fase-prova.pdf;11;4;OPE;sub;;sim;M;C;Quantas bolinhas Samuel tem a partir de falas encadeadas de a mais/a menos.;Cadeia de comparações (6, 4, 9, 5), atenção a quem se refere cada fala. Alternativa E (9) é o de Rafael.
2023-1fase-prova.pdf;12;4;TEM;;;não;M;D;Quantos minutos faltam de 3h10 até 4h05 num relógio digital.;Relógio digital, atravessa a hora cheia (50+5=55). A solução alternativa usa números acima de 100 (minutos).
2023-1fase-prova.pdf;13;4;OPE;dinheiro;LOG;não;D;B;Qual moeda passar de um quadrado a outro para os dois ficarem com o mesmo valor.;Moedas de 5, 10, 25, 50 centavos e 1 real, totais R$ 1,40 e R$ 1,20 (valores acima de 100 centavos). Levar metade da diferença (20:2=10).
2023-1fase-prova.pdf;14;4;MED;div;OPE;não;D;C;Achar a altura de duas caixas em pé empilhadas a partir de duas outras pilhas medidas.;Subtipo da OPE: div (metade: 10 cm : 2 = 5 cm), depois 16-5=11 e 11+11=22. Precisa entender caixa deitada x em pé.
2023-1fase-prova.pdf;15;4;LOG;;;sim;M;C;Quantos chás diferentes com 3 ervas usando 1 erva ou mistura de 2.;Listar todas as possibilidades (3 sozinhas + 3 pares). Erro comum: esquecer os chás de uma erva só ou contar a mesma mistura 2 vezes.
