arquivo;questao;pagina_pdf;tema;subtipo;tema2;leitura;dificuldade;resposta;resumo;observacao
nivelA-1a-prova.pdf;1;1;OPE;soma;;nao;D;C;Calcular 2018 + 8012;"Conta armada de 4 algarismos com reserva; resultado 10030 (5 algarismos, acima do 3º ano pela BNCC); números > 100"
nivelA-1a-prova.pdf;2;1;OPE;sub;;nao;F;D;"Ônibus com 25 pessoas: descem 7 e sobem 5; quantas chegam";Duas operações seguidas (sub e soma)
nivelA-1a-prova.pdf;3;1;ESP;;OPE;sim;M;E;Somar os números que estão dentro do círculo e do retângulo mas fora do triângulo;"Pegadinha de 3 condições ao mesmo tempo (dentro/dentro/fora); tema2 = soma"
nivelA-1a-prova.pdf;4;1;OPE;soma;;sim;M;D;"Geraldo tinha 5 anos quando a irmã nasceu; ela faz 9: idade dele";Pegadinha: a diferença de idade não muda (não é 9 - 5)
nivelA-1a-prova.pdf;5;2;MED;;ESP;nao;M;D;Qual caminho entre escola e circo é o mais curto;"Depende das cores/tracejados das linhas para distinguir os caminhos; contar lados de quarteirão"
nivelA-1a-prova.pdf;6;2;MED;;;sim;M;D;Altura de figurinha medida com pedaço de régua;Pegadinha: a régua não começa no zero (vai de 15 a 20)
nivelA-1a-prova.pdf;7;2;ESP;;POS;nao;M;A;Ordem em que 5 quadrados foram empilhados na mesa;Sobreposição: ver quem está por cima de quem
nivelA-1a-prova.pdf;8;2;TEM;;;nao;M;E;Aniversário 17 dias depois de um domingo: que dia da semana;Semana repete de 7 em 7
nivelA-1a-prova.pdf;9;3;CNT;;LOG;sim;M;B;Quantos quadrados brancos pintar de preto para igualar pretos e brancos;Pegadinha: cada branco pintado diminui os brancos e aumenta os pretos (resposta não é 4)
nivelA-1a-prova.pdf;10;3;SEQ;;CNT;nao;M;C;Quantos triângulos pequenos tem a 5ª figura da sequência (1, 4, 9, 16...);"Padrão de quadrados perfeitos; dá para desenhar a 5ª figura"
nivelA-1a-prova.pdf;11;3;ESP;;;nao;M;E;Qual retângulo fica todo preto com o retângulo transparente por cima;"Sobrepor malhas preto/branco; recortar em papel ajuda"
nivelA-1a-prova.pdf;12;3;OPE;div;MED;sim;D;B;Balança com 10 bombons iguais e peso de 300 g: quanto pesa cada bombom;"Pegadinha: há bombons nos dois pratos (tirar 2 de cada lado); 300 ÷ 6; números > 100"
nivelA-1a-prova.pdf;13;3;LOG;;OPE;nao;D;A;"Tabuleiro 2x2: somas das linhas 8 e 3, 1ª coluna 7; soma da 2ª coluna";Raciocínio: total das linhas = total das colunas (11 - 7). Obs.: a solução oficial tem um lapso ('número 7' numa observação), mas o gabarito é A = 4
nivelA-1a-prova.pdf;14;3;OPE;sub;NUM;sim;D;C;Livro pula da página 24 para a 55: quantas páginas faltam;Pegadinha: 'entre' não conta as páginas 24 e 55 (55 - 24 - 1)
nivelA-1a-prova.pdf;15;4;ESP;;;nao;D;B;Qual planificação monta cubo com faces opostas da mesma cor;"Planificação de cubo; depende de tons de cinza; recortar e dobrar papel ajuda"
nivelA-1a-prova.pdf;16;4;OPE;sub;;sim;M;D;Qual conta tem resultado DIFERENTE de 52 - 39;"Pergunta invertida (DIFERENTE); uma alternativa com 152 - 139 (números > 100)"
nivelA-1a-prova.pdf;17;4;POS;;OPE;sim;D;D;"Fila: Maria tem 17 atrás, Tiago 14 à frente, 5 entre eles; total da turma";"Desenhar a fila; muitas informações para organizar"
nivelA-1a-prova.pdf;18;4;OPE;div;;sim;X;D;Comeu metade das laranjas e um quarto das maçãs: quanto sobrou do total;"Exige noção de fração (metade x um quarto) e comparação sem números; acima do 3º ano"
nivelA-1a-prova.pdf;19;4;MED;;OPE;sim;D;E;Quantos km a mais se anda pelo desvio da estrada;Pegadinha: 'a mais' = desvio (20+50+30) menos o trecho interrompido (40)
nivelA-1a-prova.pdf;20;4;LOG;;POS;nao;D;D;Cinco casas coloridas vizinhas: cor da casa número 4;"Quebra-cabeça lógico com pistas de vizinhança; cores só no texto"
nivelA-2a-prova.pdf;1;1;CNT;;ESP;nao;M;D;Qual letra aparece mais vezes no quadro;"Letras giradas (W é M girado, letras de lado); contar com organização"
